Download Time (ms),Latency_1_2 (ms),Latency_1_3 (ms),Latency_1_4 (ms),Latency_1_5 (ms),Download Success, Best Peer
252,3552,2415,4616,2135,true,5
3017,3399,3922,1382,1997,true,4
4048,3326,871,2752,3971,true,3
1745,315,4186,1701,2803,true,1
4048,1131,223,2521,261,true,3
4043,4460,2191,3887,4795,true,3
245,3612,2367,2345,1338,true,5
3013,1654,4647,937,3016,true,4
241,4904,1000,1763,911,true,5
4049,975,915,3586,4486,true,3
4047,3932,684,2449,3168,true,3
244,4590,4878,3157,1685,true,5
3017,4287,3765,3008,4557,true,4
1739,317,928,2637,2290,true,1
4046,3549,2431,4315,4130,true,3
4042,2351,519,936,1821,true,3
3012,4627,3320,1254,3072,true,4
1739,1169,3650,2091,4533,true,1
4043,3924,1250,3437,1867,true,3
3015,481,4723,370,4009,true,4
